Authors,Title,Source title,Link,Abstract,Author Keywords,Subject,Publisher,Document Type,Source
Powell S.,"Lydgate, Chaucer, and Lady Margaret Beaufort",Chaucer Review,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168990429&doi=10.5325%2fCHAUCERREV.58.3-4.0506&partnerID=40&md5=a8707065b229c96c2cd2d56ad14cca83,"In an early book on Lydgate, Derek Pearsall was dismissive of Lydgate’s verse legend of Saint Margaret of Antioch. While perhaps of limited literary interest, the poem merits some claim to attention in its occurrence in the Devonshire Chaucer (New Haven, Yale Beinecke Library MS Takamiya 24). There it is paired with the Canterbury Tales in a context that has led to the suggestion that the manuscript might be the Canterbury Tales bequeathed by Lady Margaret Beaufort (1443–1509), Countess of Richmond and Derby, and mother of Henry VII, to her nephew of the half-blood, John St. John. This article refines the argument and offers an explanation for its early provenance in the Knyvett family. It explores the circumstances of the commissioning of Lydgate’s poem, and the context in which it might have circulated singly and been selected for adding to a manuscript of the Canterbury Tales, a context that reveals a network of family connections—Staffords, Hollands, Beauchamps, Beauforts, Knyvetts, and Bourchiers. © 2023 Penn State University Press. All rights reserved.",gentry/noble families; MS Takamiya 24; provenance history; The Lyfe of Seynt Margarete,Art and Humanities,Penn State University Press,Article,Scopus
Minor L.,Alma’s (Not) Normal: Normalising Working-Class Women in/on BBC TV Comedy,Journal of British Cinema and Television,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158017842&doi=10.3366%2fjbctv.2023.0665&partnerID=40&md5=8f45196716f128ef93e7d9e937494fc6,"This article examines the BBC sitcom Alma’s Not Normal and its representation of white working-class femininities in/on British TV comedy. After The Royle Family creator Caroline Aherne’s death in July 2017, the BBC created a bursary in memory of the comedy star, awarding £5,000 to the successful applicant to develop a pilot comedy script. Though open to people of all backgrounds and genders, the three winners so far have been working-class women – Sophie Willan, Amy Gledhill and Kiri Pritchard-McLean – an important shift from the recent success of female-fronted and female-authored middle-class comedies on the BBC such as Miranda and Fleabag. This article examines the award’s first winner: Boltonian Sophie Willan and her series Alma’s Not Normal. While Phil Wickham argues that contemporary working-class sitcoms in Britain display the ‘hidden injuries of class’, something that is felt but no longer acknowledged, I contend that Willan exposes class wounds by explicitly referencing and drawing attention to social issues in her TV series. More specifically, I argue that, as a working-class woman in the North West, Willan uses comedy to interrogate the intersections of class and gender. This textual analysis will then be used as a framework to conceptualise the labour of working-class women in British television comedy, mainly because class has been overlooked as a social category in contemporary scholarship on feminism and humour. © Edinburgh University Press.",Alma’s Not Normal; BBC; Caroline Aherne; situation comedy; Sophie Willan; working-class women,Art and Humanities,Edinburgh University Press,Article,Scopus
De Jongh A.; Hafkemeijer L.C.S.,Trauma-focused treatment of a client with Complex PTSD and comorbid pathology using EMDR therapy,Journal of Clinical Psychology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153066437&doi=10.1002%2fjclp.23521&partnerID=40&md5=72f172f4855b19f5934a70d0419d9b2f,"Objective: Complex post-traumatic stress disorder (CPTSD) is a classification within the International Classification of Diseases, 11th Revision (ICD-11) that, besides the DSM-5 symptom clusters of post-post-traumatic stress disorder (PTSD), includes the presence of negative self-concept, difficulties in regulating emotions and relationship skills. The purpose of the present study was to provide guidance on how to deliver Eye Movement Desensitization and Reprocessing (EMDR) therapy in the context of CPTSD, based on current clinical knowledge and the latest scientific research findings. Method: This paper describes the treatment of a 52-year-old woman with CPTSD and borderline personality disorder for which immediate trauma-focused EMDR therapy was used. Results: First, a description of what EMDR therapy entails and some important treatment strategies that the therapist may employ to assist in trauma-focused treatment of clients with CPTSD using EMDR therapy are outlined. Conclusion: The treatment results are in line with mounting evidence supporting the notion that EMDR therapy is a safe and potentially effective treatment alternative for individuals with CPTSD or personality problems. © 2023 The Authors. Journal of Clinical Psychology published by Wiley Periodicals LLC.",borderline personality disorder; complex post-traumatic stress disorder; eye movement desensitization and reprocessing (EMDR) therapy; trauma-focused treatment,Art and Humanities,John Wiley and Sons Inc,Article,Scopus
Salameh A.; Bass J.M.,An architecture governance approach for Agile development by tailoring the Spotify model,AI and Society,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108640620&doi=10.1007%2fs00146-021-01240-x&partnerID=40&md5=fde436e2c46da7ece5e38ed3ff198714,"The role of software architecture in large-scale Agile development is important because several teams need to work together to release a single software product while helping to maximise teams’ autonomy. Governing and aligning Agile architecture across autonomous squads (i.e., teams), when using the Spotify model, is a challenge because the Spotify model lacks practices for addressing Agile architecture governance. To explore how software architecture can be governed and aligned by scaling the Spotify model, we conducted a longitudinal embedded case study in a multinational FinTech organisation. Then, we developed and evaluated an approach for architectural governance by conducting an embedded case study. The collected data was analysed using Thematic Analysis and informed by selected Grounded Theory techniques such as memoing, open coding, constant comparison, and sorting. Our approach for architectural governance comprises an organisational structure change and an architecture change management process. The benefits reported by the practitioners include devolving architectural decision-making to the operational level (i.e., Architecture Owners), enhancing architectural knowledge sharing among squads, minimising wasted effort in architectural refactoring, and other benefits. The practitioners in our case study realised an improved squad autonomy by the ability to govern and align architectural decisions. We provide two key contributions in this paper. First, we present the characteristics of our proposed architectural governance approach, its evaluation, benefits, and challenges. Second, we present how the novel Heterogeneous Tailoring model was enhanced to accommodate our architectural governance approach. © 2021, The Author(s).",Agile architecture; FinTech; Grounded Theory; Large-scale Agile developments; Spotify Tailoring; Thematic analysis,Art and Humanities,Springer Science and Business Media Deutschland GmbH,Article,Scopus
Babalola M.T.; Ren S.; Ogbonnaya C.; Riisla K.; Soetan G.T.; Gok K.,Thriving at work but insomniac at home: Understanding the relationship between supervisor bottom-line mentality and employee functioning,Human Relations,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097044990&doi=10.1177%2f0018726720978687&partnerID=40&md5=3f89cec63f9c5978c50a951daab11966,"Bottom-line mentality (BLM) describes a one-dimensional frame of mind revolving around bottom-line pursuits, which pervades most organizations today. But how does working with high BLM supervisors affect employees’ functioning both at work and at home? Guided by this question, we draw on social information processing theory and insights from the person–environment fit literature for a nuanced understanding of the effects of supervisor BLM. Using data from two field studies conducted in China (340 employees) and the United States (174 employees), we find that supervisor BLM increases employee perceptions of a competitive climate that ultimately increases employee thriving at work and insomnia outside work. We further find that employee trait competitiveness moderated the indirect relationship (via perceived competitive climate) between supervisor BLM and thriving at work but not for insomnia; employees high (versus low) in trait competitiveness were found to thrive at work under the competitive climate stimulated by high BLM supervisors. Taken together, our findings highlight the need for organizational leaders to be cautious of being too narrowly focused on bottom-line outcomes and aware of the wider implications of BLM on different domains of their employees’ lives. © The Author(s) 2020.",insomnia; perceived competitive climate; supervisor bottom-line mentality; thriving at work; trait competitiveness,Art and Humanities,SAGE Publications Ltd,Article,Scopus
Perevedentseva M.,Timbre and the “Zone of Entanglement” in Electronic Dance Music: Re-Thinking Musico-Social Ontologies with the Mycelial Turn,Dancecult,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177789013&doi=10.12801%2f1947-5403.2023.15.01.03&partnerID=40&md5=107b986a5d548351fbd97b457b128157,"This article weaves together relational tendencies in recent scholarship spanning philosophy, mycology, psychopharmacology and timbre studies in order to argue that timbre’s unbounded ontology and cyclical re-use across electronic dance music (EDM) history affords listeners experiential access into radically distributed modes of being. Taking its cue from the biological structure of fungal mycelium, from whose flowers the psychoactive compounds of many psychedelic drugs are derived, this study builds on established models of EDM’s affectivity to propose that timbre in EDM manifests a psychedelic and specifically social form of consciousness. Highlighting the potential for entrainment that EDM’s synthesised timbres make possible, a conception of timbre as a mycelial “zone of entanglement” is put forward, in which the material and cultural, individual and social and spiritual and fleshly dimensions of the listening experience are folded into a reverberant unity, in turn encouraging a negotiation of the ethics that this entanglement entails. © 2023 Dancecult.",electronic dance music; mycelium; ontology; psychedelics; timbre,Art and Humanities,National University of Ireland Maynooth,Article,Scopus
Newsome R.,"Walking with shadows: Writing trauma, short fiction and Jungian psychoanalysis",Short Fiction in Theory and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131524408&doi=10.1386%2ffict_00049_1&partnerID=40&md5=f9b8e4b9e000372027cd07805b3b7a57,"A growing field at the intersection of literary and trauma studies makes the persuasive case for creative writing as a means to represent and process trauma across a range of genres from traditional memoir to hybrid and fictionalized approaches. Yet, despite this, how the specific qualities of short fiction can expand on existing modes remains theoretically underexplored. This article offers an intervention into the aforementioned field through an exploration into how the qualities of brevity and experiment that are associated with short fiction can be employed to mirror and synthesize aspects of the psychoanalyst Carl Jung’s ground-breaking work on the unconscious and his narrative approaches to processing trauma. First, this article presents the short story ‘Disappearing Act’, a hybrid of memoir and short fiction based on a personal traumatic experience of childhood abuse and informed by the Jungian concept of individuation (commonly referred to in contemporary psychoanalytic circles as shadow work). Second, it includes an accompanying critical reflection on the story’s creative process and the ways in which autobiographical short fiction can be employed as a mode of shadow work to demonstrate how the form operated as a creatively rich device to process traumatic life material for this writer. © 2022 Intellect Ltd Article. English language.",autobiographical fiction; Carl Jung; memoir; psychoanalysis; shadow work; short fiction; therapeutic writing; trauma,Art and Humanities,Intellect Ltd.,Article,Scopus
Sari W.S.; Faruk; Hurley U.,Reading stories for pleasure: An insight into Indonesian university students' practice in online reading platforms,Indonesian Journal of Applied Linguistics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185501855&doi=10.17509%2fijal.v13i2.63076&partnerID=40&md5=ab14ded250730eda0518a701e0287044,"Reading motivation has been extensively studied in online reading settings. However, little is known about what makes people want to read fiction online, especially in a foreign-language setting. As part of the growth of digital literature and cybernetics, online fiction is gaining popularity among young Indonesians. This research sought to explore Indonesian student-readers’ motivations and preferences as they practiced and were engaged in reading online stories in English. One hundred twelve university students responded to a survey, and 14 were randomly selected for in-depth interviews to learn more about their reading motivations, preferences, and cybernetic literary practices. Analysis of data from the survey showed that most participants chose Wattpad and Webtoon as their favorite online platforms, with romance and fantasy as their favorite genres. They devoted many hours to reading novels on these platforms to seek enjoyment and improve their English vocabulary and language. Nevertheless, data from the interviews further revealed that readers read solely to seek enjoyment and pleasure. Also, readers were primarily silent, unwilling to participate in online conversations between readers and reader-authors but actively rating the novels after reading. Findings contribute to establishing views on online reading motivation and cybernetic literary practices for EFL fiction readers; reading for pleasure is the intrinsic motivation that triggers Indonesian university student-readers to stay online on the platform. © 2023 authors. All Rights Reserved.",Cybernetic literary practices; online platform; online story; reading for pleasure; reading motivation,Art and Humanities,Universitas Pendidikan Indonesia,Article,Scopus
Woodman A.,"Discussion with the President of the European Film Academy, Agnieszka Holland",Studies in European Cinema,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119337209&doi=10.1080%2f17411548.2021.2004010&partnerID=40&md5=efb9f7ae5af5bc31043051940378fa5c,"This article transcribes an interview with the President of the European Film Academy, film director and scriptwriter Agnieszka Holland. It traces the filmmaker’s journey from her early filmmaking career and the potential influence of acting as a global citizen. Agnieszka Holland studied directing at the Film and TV School of the Academy of Performing Arts (FAMU) in Prague. She began her career as an assistant director to Krzysztof Zanussi and Andrzej Wajda as her mentor. In 1977, Agnieszka Holland made her co-directing debut with ‘Screen Tests.’ In 1978, Holland wrote her first screenplay for Wajda, ‘Without Anaesthesia.’ Her solo feature directing debut started with ‘Provincial Actors,’ which won the International Critics Prize at Cannes Film Festival (1980). Since then, she has directed over 30 films, won numerous awards, including the Golden Globe and Silver Bear Berlinale. Agnieszka Holland was nominated for a BAFTA and Emmy, while her films ‘Angry Harvest’ (1985), ‘Europa Europa’ (1990), and ‘In Darkness’ (2011) were nominated for an Academy Award. The emotional impact and foresight of these films have earned her international fame. Throughout her career, Holland’s vision of cinematography and the way reality is depicted influenced the further history of cinema. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",art; cinematography; Contemporary; culture; Europe; filmmaker,Art and Humanities,Routledge,Article,Scopus
Oliveira M.A.; El Bizri H.R.; Morcatty T.Q.; Braga-Pereira F.; Fa J.E.; Messias M.R.; da Costa Doria C.R.,"The Role of Religion, Wealth, and Livelihoods in the Hunting Practices of Urban and Rural Inhabitants in Western Amazonia",Human Ecology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179669732&doi=10.1007%2fs10745-023-00467-0&partnerID=40&md5=80fb3e3d8341e87ded305a0b365a8298,"Hunting by rural and urban populations is essential for securing access to protein and other nutrients throughout the tropics. The hunting patterns of urban hunters in Amazonia, and the similarities with those of rural hunters, are unclear, as are the social factors that influence hunting practices. We analyze the effects of socioeconomic and cultural factors on hunting frequency and composition of species hunted by urban and rural Amazonian hunters. We interviewed 49 urban hunters and 57 rural hunters within 10 municipalities in western Amazonia in Brazil. A total of 44 species were cited as hunted. Our analyses show that the probability of engaging in sport hunting (for recreation) is greater among urban hunters. Rural inhabitants, hunters with lower monetary incomes, and hunters who were non-practicing Christians and atheists hunted more frequently. The composition of species hunted was similar, regardless of the hunters’ livelihood (rural or urban) or religion. We found that hunting frequency is influenced by hunters’ socioeconomic and cultural backgrounds, but these factors do not affect the composition of the harvest. This similarity between urban and rural hunters might be related to species distribution and availability and could potentially impact the most hunted species if hunting grounds overlap. Understanding hunting patterns, especially those of urban hunters, allows for more effective hunting management strategies, improvements in law enforcement against illegal hunting, as well as development of more effective and sustainable conservation actions. © The Author(s) 2023.",Amazon; Brazil; Bushmeat; Livelihoods; Sport Hunting; Tropical Forests,Art and Humanities,Springer,Article,Scopus
