Authors,Title,Source title,Link,Abstract,Author Keywords,Business management,Publisher,Document Type,Source
Hassanein A.; Kokel A.,Corporate cash hoarding and corporate governance mechanisms: evidence from Borsa Istanbul,Asia-Pacific Journal of Accounting and Economics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066026037&doi=10.1080%2f16081625.2019.1617753&partnerID=40&md5=6d4d314ad2086aab956d62fec61507e7,"Hoarding cash can create conflicts of interest between managers and shareholders that lead to an agency conflict. Corporate governance is a mechanism to overcome agency conflicts. Thus, this study aims to examine the effect of corporate governance mechanisms on the corporate decision to hoard cash. The study focuses on the BIST100 nonfinancial firms listed on the Borsa Istanbul during the period from 2010 to 2014. It finds that firms with smaller boards of directors and larger audit committees are likely to hoard less cash. However, firms with a large percentage of independent directors are likely to hoard more cash. This study also finds that when the CEO of a firm acts as the chairman of the board, the firm tends to hoard more cash. Further, the study finds that firms audited by a big auditor are more likely to hoard less cash than firms audited by a non-big auditor. These results suggest that firms with good corporate governance mechanisms (except for the percentage of independent directors) are likely to hoard less cash to reduce agency conflicts. © 2019 City University of Hong Kong and National Taiwan University.",Corporate cash hoarding; corporate governance; Turkey,Business and management,Routledge,Article,Scopus
Baroun A.E.,"Meritocracy, personality traits and recruitment: some insights from the Qatari enterprising community",Journal of Enterprising Communities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101455062&doi=10.1108%2fJEC-12-2020-0216&partnerID=40&md5=6f2d9098a325759e78bad1703a0b884b,"Purpose: The purpose of this paper is to provide a picture on the impact of the meritocracy and personality traits on the recruitment process in small and medium-sized enterprises (SMEs) in the State of Qatar. Design/methodology/approach: The study used ADANCO software for carrying a structural equation modelling analysis and for descriptive statistics. Findings: The findings showed that meritocracy and personality traits had an impact on recruitment process. In addition, meritocracy showed to be more important than personality traits in the recruitment process. Research limitations/implications: This research is conducted only in one country, i.e. the State of Qatar, and findings cannot be generalised for other countries in the Gulf Cooperation Council and abroad. Extending this research in other countries and comparing the findings will help create a better portray on the role of meritocracy and personality traits on the recruitment process. Practical implications: This paper will help the Qatari and other SMEs owners to use a more comprehensive approach during the recruitment of their employees, considering that the process of recruitment plays an important role within the overall human resource management. Recruiting the right people has become an extremely daunting mission for SMEs, given that competition for talent is increasingly becoming a very tough and uncompromising issue. Originality/value: To the best of the author’s knowledge, this is the only paper that has researched the role of meritocracy and personality traits on the recruitment process in the SMEs in the State of Qatar and abroad. Separate studies were conducted that treat the impact of meritocracy and personality on recruiting the right person(s) for the company, but none treated these aspects together in one single paper. © 2021, Emerald Publishing Limited.",Employees; Meritocracy; Personality; Qatar; Recruitment; SMEs,Business and management,Emerald Publishing,Article,Scopus
Shilbayeh S.A.; Vadera S.,Cost-sensitive meta-learning framework,Journal of Modelling in Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115172104&doi=10.1108%2fJM2-03-2021-0065&partnerID=40&md5=bcfd67a99cb525977e7abdd2e798bb7d,"Purpose: This paper aims to describe the use of a meta-learning framework for recommending cost-sensitive classification methods with the aim of answering an important question that arises in machine learning, namely, “Among all the available classification algorithms, and in considering a specific type of data and cost, which is the best algorithm for my problem?” Design/methodology/approach: This paper describes the use of a meta-learning framework for recommending cost-sensitive classification methods for the aim of answering an important question that arises in machine learning, namely, “Among all the available classification algorithms, and in considering a specific type of data and cost, which is the best algorithm for my problem?” The framework is based on the idea of applying machine learning techniques to discover knowledge about the performance of different machine learning algorithms. It includes components that repeatedly apply different classification methods on data sets and measures their performance. The characteristics of the data sets, combined with the algorithms and the performance provide the training examples. A decision tree algorithm is applied to the training examples to induce the knowledge, which can then be used to recommend algorithms for new data sets. The paper makes a contribution to both meta-learning and cost-sensitive machine learning approaches. Those both fields are not new, however, building a recommender that recommends the optimal case-sensitive approach for a given data problem is the contribution. The proposed solution is implemented in WEKA and evaluated by applying it on different data sets and comparing the results with existing studies available in the literature. The results show that a developed meta-learning solution produces better results than METAL, a well-known meta-learning system. The developed solution takes the misclassification cost into consideration during the learning process, which is not available in the compared project. Findings: The proposed solution is implemented in WEKA and evaluated by applying it to different data sets and comparing the results with existing studies available in the literature. The results show that a developed meta-learning solution produces better results than METAL, a well-known meta-learning system. Originality/value: The paper presents a major piece of new information in writing for the first time. Meta-learning work has been done before but this paper presents a new meta-learning framework that is costs sensitive. © 2021, Emerald Publishing Limited.",Artificial intelligence; Cost analysis; Cost-sensitive algorithms; Data mining; Decision analysis; Machine learning algorithms; Meta-learning; Modeling,Business and management,Emerald Group Holdings Ltd.,Article,Scopus
Vik P.M.; Curtis J.; Dayson K.T.,Resilience of cooperatives during global pandemics – Short-term effects of Covid-19 on lending behaviour of British credit unions,Journal of Co-operative Organization and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176243600&doi=10.1016%2fj.jcom.2023.100220&partnerID=40&md5=a2c607ac66efb08aa1b3f4338305ecf7,"Cooperative financial institutions are believed to be less vulnerable to business and economic fluctuations linked to recessions and crises. This paper examines the short-term effects of Covid-19 on the British credit union sector drawing on survey data for 58 credit unions and follow-up interviews with 21 credit union managers. Loan demand, and the volume and value of loans were significantly lower in March and April 2020 after the introduction of government restrictions than in March and April 2019. Bad debt provisioning was also significantly higher in April 2020 than in April 2019. There was no significant difference for loan interest income between April 2019 and April 2020. The findings suggest that credit unions were affected by the pandemic in the same way as other financial institutions. For the majority of the credit unions, the decline in lending may be explained by a drop in consumer demand rather than restrictions put on the supply of credit. It is too early to conclude if the adverse economic conditions caused by Covid-19 will negatively affect the sustainability and ability of the sector to generate surpluses or if the cooperative model will shield the sector from resulting economic fluctuations, as suggested by the literature. © 2023 The Authors",Cooperatives; Covid-19; Credit unions; Economic crises; Government restrictions; Lending,Business and management,Elsevier Ltd,Article,Scopus
Babalola M.T.; Ren S.; Ogbonnaya C.; Riisla K.; Soetan G.T.; Gok K.,Thriving at work but insomniac at home: Understanding the relationship between supervisor bottom-line mentality and employee functioning,Human Relations,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097044990&doi=10.1177%2f0018726720978687&partnerID=40&md5=3f89cec63f9c5978c50a951daab11966,"Bottom-line mentality (BLM) describes a one-dimensional frame of mind revolving around bottom-line pursuits, which pervades most organizations today. But how does working with high BLM supervisors affect employees’ functioning both at work and at home? Guided by this question, we draw on social information processing theory and insights from the person–environment fit literature for a nuanced understanding of the effects of supervisor BLM. Using data from two field studies conducted in China (340 employees) and the United States (174 employees), we find that supervisor BLM increases employee perceptions of a competitive climate that ultimately increases employee thriving at work and insomnia outside work. We further find that employee trait competitiveness moderated the indirect relationship (via perceived competitive climate) between supervisor BLM and thriving at work but not for insomnia; employees high (versus low) in trait competitiveness were found to thrive at work under the competitive climate stimulated by high BLM supervisors. Taken together, our findings highlight the need for organizational leaders to be cautious of being too narrowly focused on bottom-line outcomes and aware of the wider implications of BLM on different domains of their employees’ lives. © The Author(s) 2020.",insomnia; perceived competitive climate; supervisor bottom-line mentality; thriving at work; trait competitiveness,Business and management,SAGE Publications Ltd,Article,Scopus
Badamasi A.A.; Aryal K.R.; Makarfi U.U.; Dodo M.,Drivers and barriers of virtual reality adoption in UK AEC industry,"Engineering, Construction and Architectural Management",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106316192&doi=10.1108%2fECAM-09-2020-0685&partnerID=40&md5=6338dba9d55648a274a4ff8f7a3c31c0,"Purpose: Virtual reality (VR) offers unique features of a three-dimensional (3D) model during early design stages in the virtual environment with immersive functions. Although the potential of VR is to increase the effectiveness and productivity of the project phases from initial concept design to detailed design preparation. VR adoption in the United Kingdom (UK) Architectural Engineering and Construction (AEC) sector is slow compared to other sectors. This research focuses on ascertaining the drivers and barriers of VR in construction projects in the UK. Design/methodology/approach: The study adopts an online survey design. It uses Bristol Online Survey (BOS) to create a structured questionnaire that is used to assess UK construction professionals using a convenience sampling technique. Therefore, researcher uses descriptive and inferential technique for data analysis and presentation based on Statistical Package for Social Sciences (SPSS) to analyze the questionnaire. Findings: The research findings revealed the most significant barriers to VR adoption in UK construction industry were lack of skills/expertise and cultural change. Hence, the main drivers of VR adoption as rated by the professionals in the UK construction industry are improved safety, improved quality and improved productivity. Practical implications: The identification and assessment of the drivers and barriers to VR adoption could advance VR adoption among construction professionals and other stakeholders of the UK AEC sector. This could also be extended to developing countries, given the status of VR as being in the developing stage. Originality/value: This study provides valuable insights to construction professionals and stakeholders to plan actions that could enhance the drivers and mitigate the barriers of VR. This study's main contribution is to group and classify various drivers and barriers into easily understood categories, in order to potentiate the drivers and reduce the barriers effectively. The groupings could be used as benchmarks in similar studies in developing countries. © 2021, Emerald Publishing Limited.",AEC industry; Barriers; Drivers; United Kingdom; Virtual reality adoption,Business and management,Emerald Group Holdings Ltd.,Article,Scopus
Pedler M.; Edmonstone J.; Chambers N.; Mahon A.; Clark E.; Baxter H.; Mitchell A.; Garlick V.,Action learning: resources held in Manchester and Salford,Action Learning: Research and Practice,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131543720&doi=10.1080%2f14767333.2022.2068401&partnerID=40&md5=5a16b1eefd0f911481f0d0d1d77045ce,"This paper aims to make known the materials on action learning that are held in the uni- versities of Salford and Manchester, with the aim of bringing these unique resources to the attention of researchers and other interested parties. It is a joint effort between the Editorial Board members of the Journal, Action Learning: Research & Practice and staff at the two universities. Subsequently, we hope to publicise further resources available elsewhere. The paper begins with a brief history. Starting with Revans, his career and the early development of the action learning idea, it also records his long association with Manchester and some recent institutional history beginning with him donating his archives to the University of Salford. This is followed by introductions to the Revans Archive at Salford University and the action learning materials held at Alliance Manchester Business School (AMBS). Details of the two collections are in the latter part of the paper. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",,Business and management,Routledge,Article,Scopus
Sarwar B.; Sarwar A.; Mugahed Al-Rahmi W.; Almogren A.S.; Salloum S.; Habes M.,Social media paradox: Utilizing social media technology for creating better value for better social outcomes: Case of developing countries,Cogent Business and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159703932&doi=10.1080%2f23311975.2023.2210888&partnerID=40&md5=431ca1cc55aeb1b64c4aafd083549afd,"This study presents a research framework based on the underlying richness of social media capacity (usefulness) at the individual level of youngsters regarding their contribution to building social capital and civic engagement, which significantly leads towards better social outcomes. Using structural equation modeling (SEM) technique, analysis of model accorded an examination of the impact of social media use for literacy and socialization on the perceived value in terms of social capital and civic engagement; resulting in greater cognitive and social well-being of young participants. By considering the social facets of social media technology, which can also mainly influence the value developed from the online social network, the authors also examined the moderating role of individual social technology fit in the fitting paradigms. The results support all proposed hypotheses in the model except one. This study concludes that social media tools as an interactive and productive mechanism can progressively enhance youth participation in public affairs for overall cognitive and social well-being. The positive sense of involvement is more satisfied by having an appropriate fit between individuals’ social needs and social technology. © 2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",civic engagement; cognitive well-being; social capital; Social media; social well-being; social-technology fit,Business and management,Cogent OA,Article,Scopus
Delke V.; Schiele H.; Buchholz W.; Kelly S.,Implementing Industry 4.0 technologies: Future roles in purchasing and supply management,Technological Forecasting and Social Change,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171786631&doi=10.1016%2fj.techfore.2023.122847&partnerID=40&md5=f763b87a429cf2bcbd8bc86d03ad7939,"Technological advancements associated with Industry 4.0 drive a paradigm shift with economic and social consequences where digitalization, robotization, and other emerging technologies reshape the interconnection between organizations. Critical areas that need to adapt to the change are inter-organizational buyer-supplier relationships managed by Purchasing and Supply Management (PSM) professionals. That is, their future responsibilities and skills are likely to change. Introducing the concept of specialized roles to summarize needed competencies, this research conducted a real-time Delphi study using an internet-based platform involving 47 procurement experts. As a result, the roles of the Data Analyst, Master Data Manager, Process Automation Manager, Supplier Onboarding Manager, System Innovation Scout, and Legislation Specialist were identified as essential Industry 4.0 PSM roles. For these roles, the probability of their occurrence, industry impact, desirability, and level of industry adoption are assessed. Based on emerging technologies in PSM and adopting a human-centered perspective, this research shows the need to focus on talent development to enable a technology-driven revolution. Thus, the contributions lay in the literature on Industry 4.0 and the PSM skills and capabilities domain, highlighting the required roles for Smart Working and effective Smart Supply Chains management as parts of the digital transformation journey. © 2023 The Authors",Competencies; Forecasting; Industry 4.0; Purchasing and supply management; Roles; Smart working,Business and management,Elsevier Inc.,Article,Scopus
Omer K.; Moustaka A.; Watts G.,Transforming Slums Through Urban Intensification,"World Journal of Science, Technology and Sustainable Development",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160721426&doi=10.47556%2fJ.WJSTSD.19.1.2022.5&partnerID=40&md5=a8ea06a4b1662724778af86e6e1e9747,"BACKGROUND: Urban intensification is a planning and redevelopment approach using land readjustment and redevelopment planning tools. It optimises the land in effective ways to accommodate urban growth in specific urban areas to ensure a sustainable urban environment. The argued advantages include urban sprawl control, urban land utilisation, reduction of land development cost, and the creation of compacted neighbourhoods. METHODS: Based on a critical literature review, the paper examines the upgrading process of three informal settlements using a qualitative logical framework related to land location, property markets and development codes; such a logical framework can enhance the main urban factors that impact the upgrading process in developing cities. Most urban intensification platforms in developing countries neglect the role of the property market in the utilisation that financial resources can mediate the land and development resources available for redevelopment. RESULTS: Urban expansion includes targeted slum dwellings through vertical expansion where there is no available greenfield land, and horizontal expansion in terms of available greenfield land; the development process must ensure accessible public amenities and pedestrian-friendly residential settlements. The property market platform must introduce housing finance that works for the urban poor and informal workers through fair interest rates, mortgage terms and down payment rates. They must create an appropriate partnership between private, public, and slum dweller sectors to ensure the accessibility of urban poor to redevelopment settlements while approaching inclusive development outcomes. It should take appropriate allocation of land value capture to ensure cost-efficient development processes into consideration. The planning and redevelopment process must ensure an appropriate land development code that makes use of available labour and worker skills in the construction process while utilising the housing area to ensure affordable housing units. There should also be a land readjustment plan that would allow liveable and well compacted residential settlements. CONCLUSIONS: Developing cities face challenges of rising informal settlements. Many upgrading schemes have resulted in overpriced housing units, lack of public amenities and exclusion development schemes. Such outcomes have impacted the accessibility of slum dwellers to the slum redevelopment projects, causing many to lose their economic and social networks due to relocation, while the beneficiary groups lack access to decent public services. These situations require urban intensification that would utilise financial, human and land resources. Because of this, many lessons have been learned; specifically, that land value capture, housing financial markets, urban expansion and development codes can be driven by the three case studies of Kibera, Lideta and Dharavi to ensure a better quality of residential settlements. © 2022 World Journal of Science, Technology and Sustainable Development (WJSTSD).",Land Readjustment; Property Market; Slum Upgrading; Urban Intensification,Business and management,World Association for Sustainable Development,Article,Scopus
