Authors,Title,Source title,Link,Abstract,Author Keywords,Subject,Publisher,Document Type,Source
Al-Ibadi M.A.; Al-Assfor F.K.; Al-Ibadi A.,An Automatic Self Shape-Shifting Soft Mobile Robot (A4SMR),Robotics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143718523&doi=10.3390%2frobotics11060118&partnerID=40&md5=84200c8183b8b2b9c4547a6be6379455,"This article proposes a mobile robot that is fully constructed and actuated by utilising a pneumatic artificial muscle (PAM). Several features are shown in this design including softness, lightweight, and shape change. The robot that has been designed in this article is constructed with four identical contraction actuators: one pair for steering and moving forward and the second pair for shape-shifting. The proposed mobile robot has the ability to move forward, steer, and shapeshift to navigate through narrow paths. The kinematic for the system is provided for the area of the robot by using the shoelace formula by utilising a Pixy camera to track the coordinates of the four vertices. © 2022 by the authors.",mobile robot; narrow path; pneumatic artificial muscle (PAM); shapeshift; soft robotics,Mathematics,MDPI,Article,Scopus
Suraiah Palaiah S.; Reddy G.J.; Ballem S.; Basha H.; Anwar Bég O.,Turbulent Lorentz heat flow visualization in radiative boundary layer regime,Numerical Heat Transfer; Part A: Applications,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171528411&doi=10.1080%2f10407782.2023.2255934&partnerID=40&md5=22f69ecd2ef4550b62070fbeff439dc9,"Modern nuclear energy systems often employ the magneto-hydrodynamic and feature radiative heat transfer. Motivated by studying the near-wall transport phenomena in such applications, the present article examines the simultaneous influence of thermal radiative flux and magneto-hydrodynamics on two-dimensional electrically conducting natural convective turbulent heat transfer about a vertical surface under a transverse static magnetic field using the low Reynolds number kinetic energy and dissipation (k–ε) model. An optimized Crank–Nicolson finite difference method is applied to solve the nonlinear and coupled system of Reynolds-averaged boundary layer equations. Numerical computations are conducted to visualize the streamlines and heatlines in laminar and turbulent regimes via mathematical stream and heat functions based on the Bejan approach. A detailed parametric study of the effects of the magnetic field, radiative flux, and turbulent Reynolds number on flow average velocity, temperature, kinetic energy, and dissipation rate is conducted. The simulations reveal that an increase in the magnetic field intensity reduces the average velocity and dissipation rate, whereas an increase in thermal radiation decreases the time mean temperature. The study also includes contour plots of turbulence energy and dissipation rate, along with skin friction coefficient and Nusselt number. The obtained numerical outcomes are compared to previous literature, and a good agreement is found. © 2023 Taylor & Francis Group, LLC.",Bejan heatline visualization; free convection; k–ε model; low Reynolds number; magnetic field; thermal radiation; turbulence; vertical plate,Mathematics,Taylor and Francis Ltd.,Article,Scopus
Zhang L.; Bhatti M.M.; Bég O.A.; Leonard H.J.; Kuharat S.,Numerical study of natural convection dissipative electro-magnetic non-Newtonian flow through a non-Darcy channel,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132823079&doi=10.1002%2fzamm.202100608&partnerID=40&md5=9ade0316085129656a12f0df9f25f3b6,"Inspired by simulating duct thermal processing of novel functional polymers, a novel mathematical model is developed for buoyancy-driven heat transfer in non-Newtonian Williamson fluid flow in a vertical parallel plate duct containing a permeable medium, under mutually orthogonal electrical and magnetic fields. The momentum equation features electrical and magnetic body force terms, and the Darcy–Brinkman–Forchheimer mode is used for non-Darcy effects. The energy balance equation includes thermal buoyancy (natural convection body force) and a modified viscous dissipation term. The conservation equations with associated boundary conditions are reframed into a system of coupled non-linear ordinary differential equations via appropriate similarity transformations. The emerging dimensionless boundary value problem is then solved with a differential transform method (DTM). Validation of DTM solutions with the bvp4c MATLAB collocation solver is included. The influence of key parameters on velocity, temperature and average Nusselt number, are computed and illustrated graphically. With elevation in Weissenberg (non-Newtonian) number, velocity and temperature are reduced. Velocity is suppressed with increasing non-Darcian parameter (Forchheimer effect) whereas it is enhanced with increment in buoyancy convection parameter. With increasing Forchheimer, Darcy number and Hartmann number, the average Nusselt number is boosted whereas it is decreased with higher values of buoyancy convection parameter, Brinkman number and Weissenberg number. A strong reduction in temperature is computed with increment in ratio of Joule electrical heating to heat conduction parameter. DTM is shown to be an exceptionally accurate and versatile approach for simulating non-Newtonian electromagnetohydrodynamic transport in ducts. © 2022 Wiley-VCH GmbH.",,Mathematics,John Wiley and Sons Inc,Article,Scopus
Zahedi E.; Saraee M.; Masoumi F.S.; Yazdinejad M.,Regularized Contrastive Masked Autoencoder Model for Machinery Anomaly Detection Using Diffusion-Based Data Augmentation,Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172290620&doi=10.3390%2fa16090431&partnerID=40&md5=002ad7d8a231c30836440c65cd35c41f,"Unsupervised anomalous sound detection, especially self-supervised methods, plays a crucial role in differentiating unknown abnormal sounds of machines from normal sounds. Self-supervised learning can be divided into two main categories: Generative and Contrastive methods. While Generative methods mainly focus on reconstructing data, Contrastive learning methods refine data representations by leveraging the contrast between each sample and its augmented version. However, existing Contrastive learning methods for anomalous sound detection often have two main problems. The first one is that they mostly rely on simple augmentation techniques, such as time or frequency masking, which may introduce biases due to the limited diversity of real-world sounds and noises encountered in practical scenarios (e.g., factory noises combined with machine sounds). The second issue is dimension collapsing, which leads to learning a feature space with limited representation. To address the first shortcoming, we suggest a diffusion-based data augmentation method that employs ChatGPT and AudioLDM. Also, to address the second concern, we put forward a two-stage self-supervised model. In the first stage, we introduce a novel approach that combines Contrastive learning and masked autoencoders to pre-train on the MIMII and ToyADMOS2 datasets. This combination allows our model to capture both global and local features, leading to a more comprehensive representation of the data. In the second stage, we refine the audio representations for each machine ID by employing supervised Contrastive learning to fine-tune the pre-trained model. This process enhances the relationship between audio features originating from the same machine ID. Experiments show that our method outperforms most of the state-of-the-art self-supervised learning methods. Our suggested model achieves an average AUC and pAUC of 94.39% and 87.93% on the DCASE 2020 Challenge Task2 dataset, respectively. © 2023 by the authors.",anomalous sound detection; Contrastive learning; diffusion-based data augmentation; masked autoencoders; Variance—Covariance Regularization,Mathematics,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus
Ameri R.; Alameer A.; Ferdowsi S.; Nazarpour K.; Abolghasemi V.,Labeled projective dictionary pair learning: application to handwritten numbers recognition,Information Sciences,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134881133&doi=10.1016%2fj.ins.2022.07.070&partnerID=40&md5=7c35ebec0eee072076a80496d465306e,"Dictionary learning was introduced for sparse image representation. Today, it is a cornerstone of image classification. We propose a novel dictionary learning method to recognise images of handwritten numbers. Our focus is to maximise the sparse-representation and discrimination power of the class-specific dictionaries. We, for the first time, adopt a new feature space, i.e., histogram of oriented gradients (HOG), to generate dictionary columns (atoms). The HOG features robustly describe fine details of hand-writings. We design an objective function followed by a minimisation technique to simultaneously incorporate these features. The proposed cost function benefits from a novel class-label penalty term constraining the associated minimisation approach to obtain class-specific dictionaries. The results of applying the proposed method on various handwritten image databases in three different languages show enhanced classification performance (∼98%) compared to other relevant methods. Moreover, we show that combination of HOG features with dictionary learning enhances the accuracy by 11% compared to when raw data are used. Finally, we demonstrate that our proposed approach achieves comparable results to that of existing deep learning models under the same experimental conditions but with a fraction of parameters. © 2022 The Author(s)",Deep learning; Dictionary learning; Handwritten recognition; Histogram of oriented gradients; Image classification,Mathematics,Elsevier Inc.,Article,Scopus
Selvi R.; Bég O.A.,Mathematical modelling of couple stress fluid flow around a semi-permeable sphere enclosing a solid core,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182441428&doi=10.1002%2fzamm.202300225&partnerID=40&md5=d89be688908ce2311b68f3dc3eea13c2,"The focus of this article is to study theoretically the steady-axisymmetric creeping flow dynamics of a couple stress fluid external to a semi-permeable sphere containing a solid core. This problem is motivated by emulsion hydrodynamics in chemical engineering where rheological behaviour often arises in addition to porous media effects. The non-Newtonian Stokes’ couple stress fluid model features couple stresses and body couples that are absent in the classical Navier–Stokes viscous model. It provides a robust framework for simulating emulsions, complex suspensions and other liquids which possess microstructure. The physical regime is delineated into two zones – the interior of the semi-permeable zone (region II) which engulfs the solid core and the external couple stress fluid zone (region I). The model is formulated using a spherical polar coordinate system in terms of the stream function ψ. The Brinkman-extended Darcy model is deployed for the porous medium hydrodynamics and isotropic permeability is considered. Analytical expressions are derived for dimensionless pressure, tangential stress and the couple stress components using the method of separation of variables and Gegenbauer functions of the first kind. The integration constants are evaluated with appropriate boundary conditions on the inner and outer boundary of the semi-permeable zone with the aid of Mathematica symbolic software. Solutions for the drag force exerted by the couple stress fluid on the semi-permeable sphere and volumetric flow rate are also derived with corresponding expressions for the drag coefficient and non-dimensional volumetric flow rate. The influence of permeability (k), separation parameter (l), couple stress viscosity coefficient (η), couple stress inverse length dependent parameter (λ = √(μ/η)) and couple stress viscosity ratio (τ = η/η/) on all key variables is studied graphically. Additionally, streamline contours are computed for a range of parameters including inverse permeability parameter (α = 1/k). The computations show that increasing couple stress inverse length dependent parameter (λ) greatly reduces the dimensionless volumetric flow rate in particular at high values of separation parameter (l). Flow rate is, however, markedly enhanced with permeability (k) and also couple stress viscosity parameter (η). In the presence of the solid core, a much greater drag coefficient is observed at all values of couple stress inverse length dependent parameter (λ) relative to the case without a solid core. A significant distortion in streamlines is computed with increasing separation parameter (l) with a dual vortex structure emanating. With greater couple stress viscosity parameter (τ), no tangible modification is observed in the streamline contours. The present work generalizes the earlier study of Krishnan and Shukla to consider a semi-permeable (porous medium) outer sphere and furthermore presents detailed streamline visualizations of the creeping flow for a range of emerging parameters of relevance to non-Newtonian chemical engineering processes including emulsion droplet dynamics in porous materials. © 2024 Wiley-VCH GmbH.",,Mathematics,John Wiley and Sons Inc,Article,Scopus
Peng M.; Xiao L.; Chen Q.; Wei G.; Lin Q.; Zhuo J.,Dynamic modeling and characterization of compliant cable-driven parallel robots containing flexible cables,Robotica,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166555640&doi=10.1017%2fS0263574723000930&partnerID=40&md5=015aa605cfc335d0eaba0a57cedb8a2b,"Flexible cables in cable-driven parallel robots (CDPRs) are easy to be excited and vibrate. Cable vibration will react on the end-effector, causing attitude deviation of the end-effector. The main objective of this study is to accurately model axially moving flexible cables and characterize the dynamic behaviors of associated compliant CDPRs. Firstly, a model for transverse vibration of the axially moving length-variable cable is developed. On this basis, an original nonlinear dynamic model of the CDPRs able to capture the vibration of the cables and the dynamics of the end-effector is proposed. Secondly, the frequency-amplitude relationship of the CDPR is obtained. Moreover, the significance of the excitation effect caused by the axially moving length-variable cables is demonstrated, by comparing the results with and without excitation effect at different frequencies. It turns out that, as the oscillation frequency of the end-effector increases, the end-effector and cables exhibit the dynamics process from steady state to unstable large-amplitude vibration and finally to stable small-amplitude vibration. This indicates that the dynamics of the CDPR exhibit non-linear characteristics, due to the influence of flexible cables. Finally, the proposed dynamic model of compliant CDPRs is validated by experiments performed in the laboratory. © The Author(s), 2023. Published by Cambridge University Press.",cable vibration; cable-driven parallel robot; compliant robots; nonlinear dynamics; parallel manipulators,Mathematics,Cambridge University Press,Article,Scopus
Oladipupo M.A.; Obuzor P.C.; Bamgbade B.J.; Olagunju K.M.; Adeniyi A.E.; Ajagbe S.A.,An Automated Python Script for Data Cleaning and Labeling using Machine Learning Technique,Informatica (Slovenia),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167332760&doi=10.31449%2finf.v47i6.4474&partnerID=40&md5=048b33162d6da999b092f77e06dfbe8f,"Every employee in the company who deals with data needs to have clean, noise-free data. Since data warehouses store and update enormous amounts of data from several sources, there is a potential that some of those references may contain inaccurate data. Due to the noise, inefficacy, and poor characterization of the vast amount of accessible data, as well as the ensuing insensitivity and inefficiencies of human data cleaning and labeling, the presentation of the data has become ambiguous, and the assessment of the information has become difficult. A hole in the creation of a better data analysis method was identified. This helped to guide the creation of a Python script for automatically cleaning and labeling data. The first step in the strategy used in this study to accomplish its goals and objectives was to obtain a financial dataset from the top database, ""Kaggle"". Create a machine learning (ML) approach in Python that intends to automate the financial dataset cleaning. This covers ingesting data, addressing incomplete data, addressing anomalies, one-hot wrapping and label encoding, extracting date and time values, and data normalization. Implementing an unsupervised machine learning method that attempts to automate financial dataset labeling (k-means). Using the method includes the elbow principle, k-means clustering, data modeling of ""age"" versus ""arrival,"" dimensionality reductions, computer vision, and dataset categorizing using the groupings. An empirical assessment of the cleaned and labeled automated trading dataset utilizing a comparison of the cleaned dataset before and after PCA adoption. The results show that the developed ML technique not only improved the performance of the audit data used in this study, but also classified the data after cleaning it and removing the unpleasant section and incomplete data, as shown by the k-means segmentation result and grouping by PCA. © 2023 Slovene Society Informatika. All rights reserved.",automation; data cleaning; financial dataset; information science; machine learning; python script,Mathematics,Slovene Society Informatika,Article,Scopus
Roy A.K.; Debnath S.; Bég O.A.,Transient solute dispersion in electro-osmotic viscoplastic flow in a microchannel,ZAMM Zeitschrift fur Angewandte Mathematik und Mechanik,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147309192&doi=10.1002%2fzamm.202200260&partnerID=40&md5=b5256f3f3f633cb1c0a82d28577a3edd,"The transport of a neutral solute in incompressible electro-osmotic flow of Bingham plastic non-Newtonian liquid flowing through a microchannel is studied theoretically. The flow is driven by a constant axially applied electric field. The non-dimensional conservation equations with associated boundary conditions are solved with Gill's series expansion technique. The whole transport process is analyzed using three transport coefficients, namely, advection coefficient, dispersion coefficient and the apparent asymmetry coefficient, respectively. The mean concentration distribution of the solute is calculated via a third-order approximation of the series expansion. The study investigates the collective effects of yield stress and electric double layer (EDL) thickness (inverse Debye length) on the transport of solute. The long-term behaviour of mean concentration distribution is shown to be accurately predicted by second-order approximations; however, utilizing third or higher order approximations in Gill's series expansion enables a more refined analysis of the small and moderate time behavior of transport coefficients. The present analysis is relevant to emerging applications in bio-microfluidics exploiting electroviscous fluent media. © 2023 Wiley-VCH GmbH.",,Mathematics,John Wiley and Sons Inc,Article,Scopus
Ferdows M.; Tazin T.; Bég O.A.; Bég T.A.; Ali K.,Dual solutions of magnetite/cobalt/manganese-zinc-aqueous nano-ferrofluids from a stretching sheet with magnetic induction effects: MHD stagnation flow computation and analysis,International Journal for Computational Methods in Engineering Science and Mechanics,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160912288&doi=10.1080%2f15502287.2023.2211985&partnerID=40&md5=ad594cc176e029ccc86351c7b54518c8,"A theoretical study is presented for the steady magnetohydrodynamic (MHD) boundary layer stagnation point flow of a nano-ferrofluid along a linearly moving stretching sheet, as a simulation of functional magnetic materials processing. Due to having imerging applications in heat transfer, the nano-ferrofluids draw the attention which comprise an aqueous base fluid doped with a variety of magnetic nanoparticles, i.e. magnetite (Fe3O4), cobalt ferrite (CoFe2O4) and Manganese-zinc (Mn-Zn) ferrite. A partial differential equation mathematical model is developed for mass, momentum, magnetic field continuity (induction), and energy with appropriate wall and free stream boundary conditions. Following similarity transformations, the dimensionless resultant nonlinear ordinary differential boundary value problem is solved numerically using the robust bvp4c function in MATLAB which features very efficient 4th order optimized Runge–Kutta quadrature. Dual solutions for the upper branch and lower branch separated by a critical point are identified. Visualization of velocity, temperature, and induced magnetic field function are presented graphically including validation of solutions with previous studies. Furthermore, skin-friction coefficient and the local Nusselt number are also computed. The impact of the controlling parameters, i.e. Prandtl number (Formula presented.) nanoparticle volume fraction parameter (Formula presented.) reciprocal of magnetic Prandtl number (Formula presented.) magnetic parameter (Formula presented.) and stretching rate ratio parameter (Formula presented.) have been illustrated through graphs and evaluated when a desire heat transfer can occur. Furthermore, resistance between fluid and the plate can be increased with the growing magnetic Prandtl number values. Increment in magnetic parameter ((Formula presented.)) produces an elevation in the induced magnetic field magnitudes. Skin friction and Nusselt number are found to be greater for cobalt nanoparticles when compared to magnetite and Mn-Zn ferromagnetic nanoparticles when there is an increase in reciprocal magnetic Prandtl number. The simulations provide a deeper insight into the manufacturing flows of functional nano-ferromagnetic materials of relevance to deposition and coating systems. © 2023 Taylor & Francis Group, LLC.",boundary layers; cobalt (Co); Ferromagnetic fluids; local Nusselt number; magnetic induction; magnetite (Fe<sub>3</sub>O<sub>4</sub>); Manganese-Zinc (Mn-Zn) nanoparticles; MATLAB; stagnation flow; stretching sheet,Mathematics,Taylor and Francis Ltd.,Article,Scopus
