Authors,Title,Source title,Link,Abstract,Author Keywords,Subject,Publisher,Document Type,Source
Awasthi C.; Mishra P.K.; Pal P.K.; Khan S.B.; Agarwal A.K.; Gadekallu T.R.; Malibari A.A.,Preservation of Sensitive Data Using Multi-Level Blockchain-based Secured Framework for Edge Network Devices,Journal of Grid Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177069317&doi=10.1007%2fs10723-023-09699-2&partnerID=40&md5=279c25cf0ee57d70218eec24d802ced4,"The proliferation of IoT devices has influenced end users in several aspects. Yottabytes (YB) of information are being produced in the IoT environs because of the ever-increasing utilization capacity of the Internet. Since sensitive information, as well as privacy problems, always seem to be an unsolved problem, even with best-in-class in-formation governance standards, it is difficult to bolster defensive security capabilities. Secure data sharing across disparate systems is made possible by blockchain technology, which operates on a decentralized computing paradigm. In the ever-changing IoT environments, blockchain technology provides irreversibility (immutability) usage across a wide range of services and use cases. Therefore, blockchain technology can be leveraged to securely hold private information, even in the dynamicity context of the IoT. However, as the rate of change in IoT networks accelerates, every potential weak point in the system is exposed, making it more challenging to keep sensitive data se-cure. In this study, we adopted a Multi-level Blockchain-based Secured Framework (M-BSF) to provide multi-level protection for sensitive data in the face of threats to IoT-based networking systems. The envisioned M-BSF framework incorporates edge-level, fog-level, and cloud-level security. At edge- and fog-level security, baby kyber and scaling kyber cryptosystems are applied to ensure data preservation. Kyber is a cryptosystem scheme that adopts public-key encryption and private-key decryption processes. Each block of the blockchain uses the cloud-based Argon-2di hashing method for cloud-level data storage, providing the highest level of confidentiality. Argon-2di is a stable hashing algorithm that uses a hybrid approach to access the memory that relied on dependent and independent memory features. Based on the attack-resistant rate (> 96%), computational cost (in time), and other main metrics, the proposed M-BSF security architecture appears to be an acceptable alternative to the current methodologies. © 2023, The Author(s).",Attack; Computation; Cryptosystem; Data protection; Decryption; Encryption; Hashing; Multiple securities; Overheads; Resistant,Computer science,Springer Science and Business Media B.V.,Article,Scopus
Aqeel I.; Khormi I.M.; Khan S.B.; Shuaib M.; Almusharraf A.; Alam S.; Alkhaldi N.A.,Load Balancing Using Artificial Intelligence for Cloud-Enabled Internet of Everything in Healthcare Domain,Sensors,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161505331&doi=10.3390%2fs23115349&partnerID=40&md5=6636afef89085b109cacb895d9d9a3df,"The emergence of the Internet of Things (IoT) and its subsequent evolution into the Internet of Everything (IoE) is a result of the rapid growth of information and communication technologies (ICT). However, implementing these technologies comes with certain obstacles, such as the limited availability of energy resources and processing power. Consequently, there is a need for energy-efficient and intelligent load-balancing models, particularly in healthcare, where real-time applications generate large volumes of data. This paper proposes a novel, energy-aware artificial intelligence (AI)-based load balancing model that employs the Chaotic Horse Ride Optimization Algorithm (CHROA) and big data analytics (BDA) for cloud-enabled IoT environments. The CHROA technique enhances the optimization capacity of the Horse Ride Optimization Algorithm (HROA) using chaotic principles. The proposed CHROA model balances the load, optimizes available energy resources using AI techniques, and is evaluated using various metrics. Experimental results show that the CHROA model outperforms existing models. For instance, while the Artificial Bee Colony (ABC), Gravitational Search Algorithm (GSA), and Whale Defense Algorithm with Firefly Algorithm (WD-FA) techniques attain average throughputs of 58.247 Kbps, 59.957 Kbps, and 60.819 Kbps, respectively, the CHROA model achieves an average throughput of 70.122 Kbps. The proposed CHROA-based model presents an innovative approach to intelligent load balancing and energy optimization in cloud-enabled IoT environments. The results highlight its potential to address critical challenges and contribute to developing efficient and sustainable IoT/IoE solutions. © 2023 by the authors.",big data analytics; cloud computing; clustering; healthcare; Internet of Everything; Internet of Things; load balancing,Computer science,MDPI,Article,Scopus
Scholz M.,"How Activated Carbon Can Help You—Processes, Properties and Technological Applications",Technologies,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180723043&doi=10.3390%2ftechnologies11060153&partnerID=40&md5=4a4c3766a2797e2e10f321d890f22340,"Activated carbon has many potential applications in both the liquid and gas phases. How activated carbon can help practitioners in industry is explained. This practical teaching article introduces the first part of the special issue on Recent Advances in Applied Activated Carbon Research by providing a handbook explaining the basic applications, technologies, processes, methods and material characteristics to readers from different backgrounds. The aim is to improve the knowledge and understanding of the subject of activated carbon for non-adsorption experts such as professionals in industry. Therefore, it is written in a comprehensible manner and dispenses with detailed explanations to complex processes and many background references. This handbook does not claim to be complete and concentrates only on the areas that are of practical relevance for most activated carbon applications. Activated carbon and its activation and reactivation are initially explained. Adsorption and relevant processes are outlined. The mechanical, chemical and adsorption properties of activated carbon are explained. The heart of the handbook outlines key application technologies. Other carbonaceous adsorbents are only introduced briefly. The content of the second part of the special issue is highlighted at the end. © 2023 by the author.",activation; adsorber design; adsorption isotherm; adsorption test; density; hardness; per- and polyfluorinated alkyl compounds; reactivation; thermodynamics; water content,Computer science,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus
Adewojo A.A.; Bass J.M.,A Novel Weight-Assignment Load Balancing Algorithm for Cloud Applications,SN Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150900892&doi=10.1007%2fs42979-023-01702-7&partnerID=40&md5=452556ce55f8f37052e094a6e1869026,"Web applications commonly suffer from flash crowds and resource failure, resulting in performance degradation. Flash crowds are large, sudden, yet legitimate influxes of user requests that constitute a critical problem because of their potential economic damage. For cloud providers, resource estimation is challenging, while distributing workload and sustaining performance. To alleviate flash crowds and resource failure problems, we propose a novel weight assignment load balancing algorithm that combines five carefully selected server metrics to efficiently distribute the workload of three-tier web applications among virtual machines. We experimentally characterised, using a private cloud running OpenStack, the load distribution ability of our proposed novel algorithm, as well as a baseline algorithm and round-robin algorithm. We compared the performance of the three algorithms by simulating resource failures and flash crowds, while carefully measuring response times. Our experimental results show that our approach improves average response times by 12.5% when compared to the baseline algorithm and 22.3% when compared to the round-robin algorithm in the flash crowds’ situation. In addition, average response time was improved by 20.7% when compared to the baseline algorithm and 21.4% when compared to the round-robin algorithm in resource failure situations. These experiments show that our novel algorithm is more resilient to fluctuating loads and resource failures than baseline algorithms. © 2023, The Author(s).",Cloud computing; Load balancing; Three-tier applications; Weight assignment,Computer science,Springer,Article,Scopus
Ali M.; Essien A.,How can big data analytics improve outbound logistics in the UK retail sector? A qualitative study,Journal of Enterprise Information Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163719772&doi=10.1108%2fJEIM-08-2022-0282&partnerID=40&md5=d903ef38cc8cc762af2b5c37417f0d17,"Purpose: The purpose of this study is to explore how big data analytics (BDA) as a potential information technology (IT) innovation can facilitate the retail logistics supply chain (SC) from the perspective of outbound logistics operations in the United Kingdom. The authors' goal was to better understand how BDA can be integrated to streamline SCs and logistical networks by using the technology, organisational and environmental model. Design/methodology/approach: The authors applied existing theoretical foundations for theory building based on semi-structured interviews with 15 SC and logistics managers. Findings: The perceived benefits of using BDA in outbound retail logistics comprised the strongest predictor amongst technological, organisational and environmental issues, followed by top management support (TMS). A framework was proposed for the adoption of BDA in retail logistics. Contextual concepts from previous literature have helped us understand how environmental changes impact BDA decision-making, as such: (i) SC maturity levels and connectivity affect BDA utilisation, (ii) connected SCs improve data accessibility and information exchange, (iii) the benefits of BDAs also affect adoption and (iv) outsourcing complex tasks to experts allows companies to focus on core businesses instead of investing in IT infrastructure. Research limitations/implications: Outside the key findings listed, this study shows that there is no one-size-fits-it-all approach for use within all organisational settings. The proposed framework reveals that the perceived benefit of BDA is non-transferrable and requires top-level management support for successful implementation. Originality/value: The existing literature focusses on the approaches to applying BDA in SC and logistics but fails to present a deep dive into retail outbound logistics activity. This study addresses the “how” and proposes a social-inclusive framework for a technology-enabled topic. © 2023, Emerald Publishing Limited.",Big data analytics; Outbound logistics; Retail supply chain management; Supply chain analytics; TOE framework,Computer science,Emerald Publishing,Article,Scopus
El-Ghamry A.; Gaber T.; Mohammed K.K.; Hassanien A.E.,Optimized and Efficient Image-Based IoT Malware Detection Method,Electronics (Switzerland),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147811945&doi=10.3390%2felectronics12030708&partnerID=40&md5=06a91b31fcfb86eb4affaa14a7ebf3f6,"With the widespread use of IoT applications, malware has become a difficult and sophisticated threat. Without robust security measures, a massive volume of confidential and classified data could be exposed to vulnerabilities through which hackers could do various illicit acts. As a result, improved network security mechanisms that can analyse network traffic and detect malicious traffic in real-time are required. In this paper, a novel optimized machine learning image-based IoT malware detection method is proposed using visual representation (i.e., images) of the network traffic. In this method, the ant colony optimizer (ACO)-based feature selection method was proposed to get a minimum number of features while improving the support vector machines (SVMs) classifier’s results (i.e., the malware detection results). Further, the PSO algorithm tuned the SVM parameters of the different kernel functions. Using a public dataset, the experimental results showed that the SVM linear function kernel is the best with an accuracy of 95.56%, recall of 96.43%, precision of 94.12%, and F1_score of 95.26%. Comparing with the literature, it was concluded that bio-inspired techniques, i.e., ACO and PSO, could be used to build an effective and lightweight machine-learning-based malware detection system for the IoT environment. © 2023 by the authors.",ACO; bio-inspired optimization; IoT; machine learning; malware detection; PSO; SVM,Computer science,MDPI,Article,Scopus
Lopez N.; Agbu A.; Oloyede A.; Essien E.; Eze A.; Mhambe C.,Software tool to store IoT device data onto a blockchain[Formula presented],Software Impacts,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160086172&doi=10.1016%2fj.simpa.2023.100511&partnerID=40&md5=211fd5a4a315ad489402bce8821c4975,"Certain IoT (Internet of Things) device data such as meteorological data are public goods, which are by definition, in high demand by a large user base. Accessibility to these datasets thrives with the use of blockchain technology. However, research has shown that due to the consensus mechanism of existing blockchain platforms, transaction approval delays and high transaction (gas) fees have been a challenge. This paper presents a software tool to integrate and store IoT device data onto a resource-efficient blockchain, with a decentralized proof of stake consensus mechanism, for faster and scalable application, with zero to near-zero transaction fees. © 2023 The Authors",Distributed transaction; Internet of Things; Radiosonde; Remote sensing; Telos blockchain,Computer science,Elsevier B.V.,Article,Scopus
McGuire T.; Devin K.; Patricks V.; Griffiths B.; Speirs C.; Granat M.,Use of Accelerometers to Track Changes in Stepping Behavior With the Introduction of the 2020 COVID Pandemic Restrictions: A Case Study,Journal for the Measurement of Physical Behaviour,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150779681&doi=10.1123%2fjmpb.2022-0015&partnerID=40&md5=cdd0d3deac68eee159c9b99ef644ded4,"Introduction: The COVID-19 lockdown introduced restrictions to free-living activities. Changes to these activities can be accurately quantified using combined measurement. Using activPAL3 and self-reports to collect activity data, the study aimed to quantify changes that occurred in physical activity and sedentary behavior between prelockdown and lockdown. The study also sought to determine changes in indoor and outdoor stepping. Methods: Using activPAL3, four participants recorded physical activity data prelockdown and during lockdown restrictions (February–June 2020). Single events (sitting, standing, stepping, lying) were recorded and analyzed by the CREA algorithm using an event-based approach. The analysis focused on step count, sedentary time, and lying (in bed) time; median and interquartile range were calculated. Daily steps classified as taking place indoors and outdoors were calculated separately. Results: 33 prelockdown and 92 in-lockdown days of valid data were captured. Median daily step count across all participants reduced by 14.8% (from 5,828 prelockdown to 4,963 in-lockdown), while sedentary and lying time increased by 4% and 8%, respectively (sedentary: 9.98–10.30 hr; lying: 9.33–10.05 hr). Individual variations were observed in hours spent sedentary (001: 8.44–8.66, 002: 7.41–8.66, 003: 11.97–10.59, 004: 6.29–7.94, and lying (001: 9.69–9.49, 002: 11.46–11.66, 003: 7.63–9.34, 004: 9.7–11.12) pre-and in-lockdown. Discrepancies in self-report versus algorithm classification of indoor/outdoor stepping were observed for three participants. Conclusion: The study quantitively showed lockdown restrictions negatively impacted physical activity and sedentary behavior; two variables closely linked to health outcomes. This has important implications for public health policies to help develop targeted interventions and mandates that encourage additional physical activity and lower sedentary behavior. © 2023 Human Kinetics, Inc.",activity monitor; lockdown; physical activity; sedentary,Computer science,Human Kinetics Publishers Inc.,Article,Scopus
Abbas Q.; Hina S.; Sajjad H.; Zaidi K.S.; Akbar R.,Optimization of predictive performance of intrusion detection system using hybrid ensemble model for secure systems,PeerJ Computer Science,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172319065&doi=10.7717%2fpeerj-cs.1552&partnerID=40&md5=09ae4b8054dffecc2d35565dd96f19b8,"Network intrusion is one of the main threats to organizational networks and systems. Its timely detection is a profound challenge for the security of networks and systems. The situation is even more challenging for small and medium enterprises (SMEs) of developing countries where limited resources and investment in deploying foreign security controls and development of indigenous security solutions are big hurdles. A robust, yet cost-effective network intrusion detection system is required to secure traditional and Internet of Things (IoT) networks to confront such escalating security challenges in SMEs. In the present research, a novel hybrid ensemble model using random forest-recursive feature elimination (RF-RFE) method is proposed to increase the predictive performance of intrusion detection system (IDS). Compared to the deep learning paradigm, the proposed machine learning ensemble method could yield the state-of-the-art results with lower computational cost and less training time. The evaluation of the proposed ensemble machine leaning model shows 99%, 98.53% and 99.9% overall accuracy for NSL-KDD, UNSW-NB15 and CSE-CIC-IDS2018 datasets, respectively. The results show that the proposed ensemble method successfully optimizes the performance of intrusion detection systems. The outcome of the research is significant and contributes to the performance efficiency of intrusion detection systems and developing secure systems and applications. © 2023 Abbas et al.",Ensemble method; Intrusion detection; Predictive modelling; Secure systems,Computer science,PeerJ Inc.,Article,Scopus
Zahedi E.; Saraee M.; Masoumi F.S.; Yazdinejad M.,Regularized Contrastive Masked Autoencoder Model for Machinery Anomaly Detection Using Diffusion-Based Data Augmentation,Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172290620&doi=10.3390%2fa16090431&partnerID=40&md5=002ad7d8a231c30836440c65cd35c41f,"Unsupervised anomalous sound detection, especially self-supervised methods, plays a crucial role in differentiating unknown abnormal sounds of machines from normal sounds. Self-supervised learning can be divided into two main categories: Generative and Contrastive methods. While Generative methods mainly focus on reconstructing data, Contrastive learning methods refine data representations by leveraging the contrast between each sample and its augmented version. However, existing Contrastive learning methods for anomalous sound detection often have two main problems. The first one is that they mostly rely on simple augmentation techniques, such as time or frequency masking, which may introduce biases due to the limited diversity of real-world sounds and noises encountered in practical scenarios (e.g., factory noises combined with machine sounds). The second issue is dimension collapsing, which leads to learning a feature space with limited representation. To address the first shortcoming, we suggest a diffusion-based data augmentation method that employs ChatGPT and AudioLDM. Also, to address the second concern, we put forward a two-stage self-supervised model. In the first stage, we introduce a novel approach that combines Contrastive learning and masked autoencoders to pre-train on the MIMII and ToyADMOS2 datasets. This combination allows our model to capture both global and local features, leading to a more comprehensive representation of the data. In the second stage, we refine the audio representations for each machine ID by employing supervised Contrastive learning to fine-tune the pre-trained model. This process enhances the relationship between audio features originating from the same machine ID. Experiments show that our method outperforms most of the state-of-the-art self-supervised learning methods. Our suggested model achieves an average AUC and pAUC of 94.39% and 87.93% on the DCASE 2020 Challenge Task2 dataset, respectively. © 2023 by the authors.",anomalous sound detection; Contrastive learning; diffusion-based data augmentation; masked autoencoders; Variance—Covariance Regularization,Computer science,Multidisciplinary Digital Publishing Institute (MDPI),Article,Scopus
