Authors,Title,Source title,Link,Abstract,Author Keywords,Subject,Publisher,Document Type,Source
Davies S.J.; Coyle D.; Lindley E.J.; Keane D.; Belcher J.; Caskey F.J.; Dasgupta I.; Davenport A.; Farrington K.; Mitra S.; Ormandy P.; Wilkie M.; MacDonald J.; Zanganeh M.; Andronis L.; Solis-Trapala I.; Sim J.,Bio-impedance spectroscopy added to a fluid management protocol does not improve preservation of residual kidney function in incident hemodialysis patients in a randomized controlled trial,Kidney International,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163309029&doi=10.1016%2fj.kint.2023.05.016&partnerID=40&md5=f0aae4cd7d37bab770f394a595f565f7,"Avoiding excessive dialysis-associated volume depletion may help preserve residual kidney function (RKF). To establish whether knowledge of the estimated normally hydrated weight from bioimpedance measurements (BI-NHW) when setting the post-hemodialysis target weight (TW) might mitigate rate of loss of RKF, we undertook an open label, randomized controlled trial in incident patients receiving HD, with clinicians and patients blinded to bioimpedance readings in controls. A total of 439 patients with over 500 ml urine/day or residual GFR exceeding 3 ml/min/1.73m2 were recruited from 34 United Kingdom centers and randomized 1:1, stratified by center. Fluid assessments were made for up to 24 months using a standardized proforma in both groups, supplemented by availability of BI-NHW in the intervention group. Primary outcome was time to anuria, analyzed using competing-risk survival models adjusted for baseline characteristics, by intention to treat. Secondary outcomes included rate of RKF decline (mean urea and creatinine clearance), blood pressure and patient-reported outcomes. There were no group differences in cause-specific hazard rates of anuria (0.751; 95% confidence interval (0.459, 1.229)) or sub-distribution hazard rates (0.742 (0.453, 1.215)). RKF decline was markedly slower than anticipated, pooled linear rates in year 1: –0.178 (–0.196, –0.159)), year 2: –0.061 (–0.086, –0.036)) ml/min/1.73m2/month. Blood pressure and patient-reported outcomes did not differ by group. The mean difference agreement between TW and BI-NHW was similar for both groups, Bioimpedance: –0.04 kg; Control: –0.25 kg. Thus, use of a standardized clinical protocol for fluid assessment when setting TW is associated with excellent preservation of RKF. Hence, bioimpedance measurements are not necessary to achieve this. © 2023 International Society of Nephrology",anuria; bioimpedance spectroscopy; blood pressure; fluid status; patient-reported outcomes; residual kidney function,Medicine,Elsevier B.V.,Article,Scopus
Preece S.J.; Alghamdi W.; Jones R.K.,Individuals with knee osteoarthritis demonstrate increased passive stiffness of the hip flexor muscles,Knee,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150448083&doi=10.1016%2fj.knee.2023.01.007&partnerID=40&md5=7ce8e1cebdc2c5523560d870e7fbff51,"Background: People with knee osteoarthritis stand and walk with increased trunk flexion. This altered postural alignment increases hamstring activation, elevating mechanical knee loads during walking. Increased hip flexor stiffness may lead to increased trunk flexion. Therefore, this study compared hip flexor stiffness between healthy individuals and individuals with knee osteoarthritis. This study also sought to understand the biomechanical effect of a simple instruction to reduce trunk flexion by 5° during walking. Methods: Twenty individuals with confirmed knee osteoarthritis and 20 healthy individuals participated. The Thomas test was used to quantity passive stiffness of the hip flexor muscles and three-dimensional motion analysis used to quantify trunk flexion during normal walking. Using a controlled biofeedback protocol, each participant was then instructed to decrease trunk flexion by 5°. Results: Passive stiffness was greater in the group with knee osteoarthritis (effect size = 1.04). For both groups, there was relatively strong correlation between passive stiffness and trunk flexion in walking (r = 0.61–0.72). The instruction to decrease trunk flexion produced only small, non-significant, reductions in hamstring activation during early stance. Conclusions: This is the first study to demonstrate that individuals with knee osteoarthritis exhibit increased passive stiffness of the hip muscles. This increased stiffness appears to be linked to increased trunk flexion and may therefore underlie the increased hamstring activation which is associated with this disease. As simple postural instruction does not appear to reduce hamstring activity, interventions may be required which can improve postural alignment by reducing passive stiffness of the hip muscles. © 2023",Gait; Hip flexor; Knee osteoarthritis; Thomas test; Trunk flexion; Trunk inclination,Medicine,Elsevier B.V.,Article,Scopus
Al-Ansari R.Y.; Al-Rayes H.; Abdalla L.M.; Alshehri A.A.; Woodman A.,Impending splenic rupture as indicator of atypical chronic lymphocytic leukemia: A case report from Saudi Arabia,International Journal of Surgery Case Reports,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169899565&doi=10.1016%2fj.ijscr.2023.108748&partnerID=40&md5=f5c0fda5176801053223457fa5df0912,"Background: Chronic lymphocytic leukemia (CLL) is one of the hematological malignancies in which the bone marrow overproduces mature, dysfunctional lymphocytes. Affected lymphocytic cells can affect the lymph nodes, spleen, liver, bone marrow, and rarely other organs. Spontaneous rupture of the spleen is a rare health condition, with a few cases caused by CLL. Since the preliminary presentation of either impending or real splenic rupture is unusual and requires recording and reporting, this case report was developed. Case report: A 55-year-old male patient presented with a significant weight loss of 20 kg, loss of appetite, fatigue, abdominal pain, and early satiety. Clinical examination revealed massive splenomegaly 22 cm below the costal margin, otherwise unremarkable on systemic examination. The size and dimensions of the spleen were confirmed by computed tomography of the body. The patient underwent a bone marrow biopsy, which was suggestive of atypical CLL. Due to the rapid progression of the size of the spleen and the pattern of impending rupture of the spleen, an emergency splenectomy was performed, and the histopathological report confirmed low-grade B-cell non-Hodgkin's lymphoma, mostly typical of CLL. Conclusion: Given the rarity of cases, continuous data recording and reporting is required to enrich the scientific literature and share experiences from case to case. This will create a complete picture of this health condition across diverse regions and countries. © 2023",Chronic lymphocytic leukemia; Mantel lymphoma; Non-Hodgkin lymphoma; Splenic marginal zone lymphoma; Splenic rupture,Medicine,Elsevier Ltd,Article,Scopus
Stancombe J.; Williams R.; Drury J.; Hussey L.; Gittins M.; Barrett A.; French P.; Chitsabesan P.,"Trajectories of distress and recovery, secondary stressors and social cure processes in people who used the resilience hub after the Manchester Arena bombing",BJPsych Open,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169339587&doi=10.1192%2fbjo.2023.527&partnerID=40&md5=b4652f5e8774fc5633ae87a2871c2d02,"Background: Terrorist incidents lead to a range of mental health outcomes for people affected, sometimes extending years after the event. Secondary stressors can exacerbate them, and social support can provide mitigation and aid recovery. There is a need to better understand distress and mitigating factors among survivors of the Manchester Arena attack in 2017. Aims: We explored three questions. First, what experiences of distress did participants report? Second, how might secondary stressors have influenced participants' psychosocial recoveries? Third, what part has social support played in the relationships between distress and participants' recovery trajectories? Method We conducted a cross-sectional online survey of a convenience sample of survivors of the Manchester Arena bombing (N = 84) in January 2021 (3 years 8 months post-incident), and a longitudinal study of the same participants' scores on mental health measures over 3 years from September 2017. Results: Survivors' mental well-being scores in early 2021 were significantly lower than general population norms. Longitudinal follow-up provided evidence of enduring distress. Secondary stressors, specifically disruptions to close relationships, were associated with greater post-event distress and slower recovery. We found an indirect relationship between identifying with, and receiving support from, others present at the event and mental well-being >3 years later. Conclusions: The Arena attack has had an enduring impact on mental health, even in survivors who had a mild response to the event. The quality of close relationships is pivotal to long-term outcome. Constructive support from family and friends, and people with shared experiences, are key to social cure processes that facilitate coping and recovery. Copyright © 2023 The Author(s).",Manchester Arena bombing; secondary stressors; social support; Trajectories of distress; trajectories of recovery,Medicine,Cambridge University Press,Article,Scopus
Bromilow T.; Holmes H.; Coote L.; Woods S.; Pink J.,Cost-Effectiveness Analysis of Antimicrobial Prescribing in the Treatment of Clostridioides Difficile Infection in England,PharmacoEconomics - Open,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161706039&doi=10.1007%2fs41669-023-00420-3&partnerID=40&md5=97a38d371a038f2d77d9dcfeb6de6712,"Background: An economic model was developed with guidance from the National Institute for Health and Care Excellence (NICE) ‘Managing Common Infections’ (MCI) Committee to evaluate the cost effectiveness of different antibiotic treatment sequences for treating Clostridioides difficile infection (CDI) in England. Methods: The model consisted of a 90-day decision tree followed by a lifetime cohort Markov model. Efficacy data were taken from a network meta-analysis and published literature, while cost, utility and mortality data were taken from published literature. A treatment sequence was defined as a first-line intervention or a different second-line intervention, and used constant third- and fourth-line interventions. The possible first- and second-line interventions were vancomycin, metronidazole, teicoplanin and fidaxomicin (standard and extended regimens). Total costs and quality-adjusted life-years (QALYs) were calculated and were used to run a fully incremental cost-effectiveness analysis. Threshold analysis was conducted around pricing. Results: Sequences including teicoplanin, fidaxomicin (extended regimen) and second-line metronidazole were excluded based on recommendations from the committee. The final pairwise comparison was between first-line vancomycin and second-line fidaxomicin (VAN-FID), and the reverse (FID-VAN). The incremental cost-effectiveness ratio for FID-VAN compared with VAN-FID was £156,000 per QALY gained, and FID-VAN had a 0.2% likelihood of being cost effective at a £20,000 threshold. Conclusion: First-line vancomycin and second-line fidaxomicin was the most cost-effective treatment sequence at the NICE threshold for treating CDI in England. The main limitation of this study was that the initial cure and recurrence rates of each intervention were applied constantly across each line of treatment and each round of recurrence. © 2023, The Author(s).",,Medicine,Adis,Article,Scopus
Skidmore S.; Prior Y.; Nester C.; Bird S.; Vasilica C.,"Where do you stand?: an exploration of perspectives toward feet, foot health, and footwear using innovative digital methods",Journal of Foot and Ankle Research,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156224490&doi=10.1186%2fs13047-023-00621-3&partnerID=40&md5=4be24d8261f7a16859585b1444272c02,"Background: The cost of losing foot health is significant to the person, healthcare systems, and economy, with diabetes related foot health issues alone costing over £1 billion annually in the UK. Yet many foot health problems are preventable through alternative health behaviour. It is therefore important to understand how feet, foot health and footwear are conceptualised to gain understanding about how these might influence foot health behaviour and inform health messages that seek to protect or improve foot health through altered health behaviour. This research seeks to explore attitudes and beliefs and identify phenomena that may act as barriers or motivators to the proactive self-management of foot health. Methods: Public conversations involving 2,699 expressions related to feet, footwear or foot health on Facebook, Twitter, and Instagram were extracted. Conversations on Facebook and Twitter were scraped with NVivo’s NCapture plugin whereby data is extracted and downloaded to NVivo. Extracted files were uploaded to the Big Content Machine (software developed at the University of Salford) which facilitated the search for keywords ‘foot’, ‘feet’, ‘footwear’, ‘shoe’, and ‘shoes’. Instagram was scraped by hand. Data was analysed using a Thematic Analysis approach. Results: Three themes were identified; 1) connections and disconnections derived from social and cultural constructs, 2) phenomena beyond attitudes and beliefs that relate to symbolic representations and the impact when foot health is lost, and 3) phenomena relating to Social Media as a conduit for the exploration of attitudes and beliefs. Conclusions: This novel research exemplifies complex and sometimes incongruous perspectives about feet including their value for what they facilitate, contrasted with negative feelings about the negative impact that can have aesthetically when feet work hard. Sometimes feet were devalued, with expressions of disgust, disconnection, and ridicule. The importance of contextual, social, and cultural phenomena with implications for optimising foot health messages. Knowledge gaps including factors related to children’s foot health and development, and how to treat foot health problems. The power of communities with shared experience to influence decisions, theories, and behaviour about foot health was also revealed. While people do talk about feet in some social contexts, it is not always in a way that promotes overt, positive foot health behaviour. Finally, this research demonstrates the benefit of exploring perspectives in uncontrived settings and illuminates the potential utility of social media (SoMe) platforms Facebook, Instagram, and Twitter as vehicles to promote foot health self-management behaviour that is responsive to the social and demographic variances of engagers who inhabit those spaces. © 2023, The Author(s).",Attitudes; Beliefs; Feet; Foot health; Prevention,Medicine,BioMed Central Ltd,Article,Scopus
Özdemir A.; Hall R.; Lovell A.; Ellahi B.,Nutrition knowledge and influence on diet in the carer–client relationship in residential care settings for people with intellectual disabilities,Nutrition Bulletin,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146333094&doi=10.1111%2fnbu.12600&partnerID=40&md5=9641ef23e909a1eae1cdc07a4adf630c,"People with intellectual disabilities generally have poorer health outcomes compared with those who do not, including outcomes related to nutrition-related non-communicable diseases. Carers support people with intellectual disabilities in many aspects including habitual shopping and preparation of food, but their own nutrition knowledge and the influence this may have on dietary intakes of clients is unknown. We explored the nutrition knowledge of carers of people with intellectual disabilities in residential care settings, their dietary habits and their influence on clients' food shopping and preparation and therefore the diet consumed by their clients. Ninety-seven carers belonging to a large independent care sector organisation specialising in the care of people with an intellectual disability completed a validated general nutrition knowledge and behaviour questionnaire. Seventeen carers from the residential care settings were interviewed to contextualise practice. Knowledge about key dietary recommendations scored highly. Carers who had more work experience were found to have higher scores in ‘making everyday food choices’ (p = 0.034). Daily consumption of fruit and vegetables (at least one portion per day) was observed (for fruit by 46% of the carers and for vegetables by 60% of the carers), whilst most carers reported avoiding consuming full-fat dairy products, sugary foods and fried foods. The concept of a healthy diet; typical dietary habits of clients; role in food acquisition; and training in nutrition emerged as themes from the interviews. Carers discussed various topics including the importance of a balanced diet, cooking fresh foods and control of food portion sizes for clients relative to the care philosophy of a client-centred approach, which encapsulates client autonomy. Gaps in knowledge around specific nutrients, making healthy choices and cooking skills remain. Carers have an influence on clients' dietary choices; they are able to provide healthy meals and share good dietary habits with clients. Further training in nutrition is recommended for impact on clients' health. © 2023 The Authors. Nutrition Bulletin published by John Wiley & Sons Ltd on behalf of British Nutrition Foundation.",carers; dietary practices; eating behaviour; intellectual disability; person-centred care,Medicine,John Wiley and Sons Inc,Article,Scopus
Cammarata-Scalisi F.; Callea M.; Chaudhary A.K.; Tadich A.C.; Castillo M.A.; Morabito A.; Bellacchio E.; Pisaneschi E.; Novelli A.; Willoughby C.E.; Bashyam M.D.,Novel EDA mutations cause X-linked hypohidrotic ectodermal dysplasia: the first study from Venezuela,Clinical and experimental dermatology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177102823&doi=10.1093%2fced%2fllad218&partnerID=40&md5=8a33091b6939c7a8c5d00e029d78bbca,[No abstract available],,Medicine,,Article,Scopus
McGuire T.; Devin K.; Patricks V.; Griffiths B.; Speirs C.; Granat M.,Use of Accelerometers to Track Changes in Stepping Behavior With the Introduction of the 2020 COVID Pandemic Restrictions: A Case Study,Journal for the Measurement of Physical Behaviour,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150779681&doi=10.1123%2fjmpb.2022-0015&partnerID=40&md5=cdd0d3deac68eee159c9b99ef644ded4,"Introduction: The COVID-19 lockdown introduced restrictions to free-living activities. Changes to these activities can be accurately quantified using combined measurement. Using activPAL3 and self-reports to collect activity data, the study aimed to quantify changes that occurred in physical activity and sedentary behavior between prelockdown and lockdown. The study also sought to determine changes in indoor and outdoor stepping. Methods: Using activPAL3, four participants recorded physical activity data prelockdown and during lockdown restrictions (February–June 2020). Single events (sitting, standing, stepping, lying) were recorded and analyzed by the CREA algorithm using an event-based approach. The analysis focused on step count, sedentary time, and lying (in bed) time; median and interquartile range were calculated. Daily steps classified as taking place indoors and outdoors were calculated separately. Results: 33 prelockdown and 92 in-lockdown days of valid data were captured. Median daily step count across all participants reduced by 14.8% (from 5,828 prelockdown to 4,963 in-lockdown), while sedentary and lying time increased by 4% and 8%, respectively (sedentary: 9.98–10.30 hr; lying: 9.33–10.05 hr). Individual variations were observed in hours spent sedentary (001: 8.44–8.66, 002: 7.41–8.66, 003: 11.97–10.59, 004: 6.29–7.94, and lying (001: 9.69–9.49, 002: 11.46–11.66, 003: 7.63–9.34, 004: 9.7–11.12) pre-and in-lockdown. Discrepancies in self-report versus algorithm classification of indoor/outdoor stepping were observed for three participants. Conclusion: The study quantitively showed lockdown restrictions negatively impacted physical activity and sedentary behavior; two variables closely linked to health outcomes. This has important implications for public health policies to help develop targeted interventions and mandates that encourage additional physical activity and lower sedentary behavior. © 2023 Human Kinetics, Inc.",activity monitor; lockdown; physical activity; sedentary,Medicine,Human Kinetics Publishers Inc.,Article,Scopus
Hammond A.; Tennant A.; Brown T.; Prior Y.; Ching A.; Parker J.,Psychometric testing of the Rheumatoid Arthritis Work Instability Scale in employed people with fibromyalgia,Musculoskeletal Care,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173099637&doi=10.1002%2fmsc.1829&partnerID=40&md5=3fe95d37e5cbfe68aa68833d03952678,"Objective: The aim of the study was to establish whether the Rheumatoid Arthritis Work Instability Scale (RA-WIS), in its current form, is applicable for use with employed people with fibromyalgia (FM) to identify the risk of work disability and need for work rehabilitation. Methods: Content validity was first investigated using cognitive debriefing interviews. Participants completed a postal questionnaire. Construct validity was assessed using Rasch analysis. Concurrent validity included testing between the RA-WIS and work (e.g., Workplace Activity Limitations Scale) and health (FM Impact Questionnaire-Revised (FIQ-R) scales. Two weeks later, participants were mailed a second questionnaire to measure test-retest reliability. Results: Interviews were conducted with 13 participants with FM. All RA-WIS items were considered very or extremely relevant by almost all participants, with only one suggesting other items (anxiety and brain fog). Questionnaire responses were analysed from 156 employed participants: 94% women; 45.71 (SD 10.05) years of age; with time since FM diagnosis 2.99 (4.17) years (symptom duration 8.36 (SD 7.16) years). The RA-WIS mostly satisfied Rasch model requirements and a Rasch transformation scale was created. Concurrent validity was generally good (rs = 0.55–0.66) with work scales and the FIQ-R. Internal consistency (Person Separation Index values) was consistent with group use in FM, not individual level use. Test-retest reliability was excellent, with intraclass coefficient (2, 1) = 0.90. Discussion: The RA-WIS is valid and reliable for group use in employed people with FM. However, further work is needed to develop a WIS for individual use in FM. © 2023 The Authors. Musculoskeletal Care published by John Wiley & Sons Ltd.",arthritis; musculoskeletal; patient reported outcomes; work; work rehabilitation,Medicine,John Wiley and Sons Ltd,Article,Scopus
